OMNeT++ Discrete Event Simulation  (C) 1992-2019 Andras Varga, OpenSim Ltd.
Version: 5.5.1, build: 190613-08ba16f914, edition: Academic Public License -- NOT FOR COMMERCIAL USE
See the license for distribution terms and warranty disclaimer

Setting up Cmdenv...

Loading NED files from ../../src/veins:  42
Loading NED files from /home/veins/workspace.omnetpp/lair/examples/lair:  1

Assigned runID=General-0-20191214-17:06:23-11140
Setting up network "RSUExampleScenario"...
Initializing...

Running simulation...
Distância do 837:  570.074
Distância do 903:  585.077
Distância do 819:  562.573
Distância do 1101:  591.97
Distância do 813:  592.578
Distância do 981:  599.471
Distância do 831:  600.079
Distância do 867:  607.58
Distância do 1125:  606.972
Distância do 1155:  614.473
Distância do 921:  615.081
Distância do 1191:  621.973
Distância do 1005:  622.582
Distância do 1203:  629.474
Distância do 897:  630.083
Distância do 1119:  637.584
Distância do 1215:  636.975
Distância do 1047:  645.085
Distância do 1023:  644.476
Distância do 1113:  651.977
Distância do 1107:  652.586
Distância do 1179:  659.478
Distância do 1167:  674.48
Distância do 1137:  675.089
Distância do 999:  666.979
Distância do 1173:  681.981
Distância do 1143:  667.588
Distância do 1131:  682.59
Distância do 1221:  660.087
Distância do 1149:  689.482
Distância do 1269:  690.091
Distância do 1083:  697.592
Distância do 1245:  696.983
Distância do 1233:  705.093
Distância do 1281:  704.484
Distância do 1257:  711.985
Distância do 1197:  712.594
Distância do 969:  720.095
Distância do 1035:  727.596
Distância do 1077:  735.097
Distância do 1239:  734.488
Distância do 1185:  742.598
Distância do 1251:  741.989
Distância do 1065:  726.987
Distância do 1209:  749.49
Distância do 1227:  750.099
Distância do 1011:  719.486
Distância do 1323:  757.6
Distância do 1305:  764.492
Distância do 1341:  771.993
Distância do 1395:  772.602
Distância do 1359:  779.494
Distância do 1353:  765.101
Distância do 1425:  780.103
Distância do 1389:  786.994
Distância do 1263:  756.991
Distância do 1383:  794.495
Distância do 1473:  801.996
Distância do 1413:  802.606
Distância do 1497:  809.497
Distância do 1293:  795.105
Distância do 1437:  810.107
Distância do 1431:  787.604
Distância do 1491:  816.998
Distância do 1467:  824.499
Distância do 1335:  825.109
Distância do 1419:  832
Distância do 1287:  832.61
Distância do 1503:  839.501
Distância do 1161:  840.112
Distância do 1557:  847.002
Distância do 1275:  847.613
Distância do 1581:  854.503
Distância do 1299:  855.114
Distância do 1575:  862.004
Distância do 1317:  862.615
Distância do 1599:  869.505
Distância do 1329:  870.116
Distância do 1563:  877.006
Distância do 1311:  877.617
Distância do 1593:  884.507
Distância do 1347:  885.118
Distância do 1377:  892.619
Distância do 1629:  892.008
Distância do 1605:  899.509
Distância do 1365:  900.12
Distância do 1371:  907.621
Distância do 1569:  907.01
Distância do 1401:  915.122
Distância do 1545:  914.511
Distância do 1611:  922.012
Distância do 1407:  922.623
Distância do 1617:  929.513
Distância do 1461:  930.124
Distância do 1449:  937.625
Distância do 1647:  944.515
Distância do 1521:  945.126
Distância do 1509:  937.014
Distância do 1665:  952.016
Distância do 1533:  952.627
Distância do 1551:  959.517
Distância do 1635:  960.128
Distância do 1623:  967.629
Distância do 1587:  967.018
Distância do 1671:  974.519
Distância do 1653:  975.13
Distância do 1479:  982.631
Distância do 1677:  989.521
Distância do 1689:  990.132
Distância do 1455:  982.02
Distância do 1713:  997.022
Distância do 1539:  997.633
Distância do 1695:  1004.52
Distância do 1659:  1005.13
Distância do 1683:  1012.64
Distância do 1785:  1012.02
Distância do 1791:  1020.14
Distância do 1809:  1019.53
Distância do 1821:  1027.03
Distância do 1641:  1027.64
Distância do 1833:  1034.53
Distância do 1725:  1035.14
Distância do 1827:  1042.03
Distância do 1803:  1042.64
Distância do 1797:  1050.14
Distância do 1707:  1049.53
Distância do 1845:  1057.64
Distância do 1869:  1057.03
Distância do 1887:  1064.53
Distância do 1443:  1065.14
Distância do 1899:  1072.03
Distância do 1527:  1080.14
Distância do 1701:  1095.15
Distância do 1911:  1094.54
Distância do 1719:  1087.65
Distância do 1731:  1102.65
Distância do 1905:  1102.04
Distância do 1935:  1087.03
Distância do 1929:  1109.54
Distância do 1749:  1110.15
Distância do 1893:  1117.04
Distância do 1761:  1117.65
Distância do 1737:  1125.15
Distância do 1863:  1132.04
Distância do 1743:  1132.65
Distância do 1773:  1124.54
Distância do 1983:  1139.54
Distância do 1755:  1140.15
Distância do 2013:  1147.04
Distância do 1767:  1147.65
Distância do 2049:  1162.04
Distância do 1815:  1162.66
Distância do 1839:  1170.16
Distância do 1953:  1169.55
Distância do 1851:  1177.66
Distância do 1875:  1177.05
Distância do 2079:  1184.55
Distância do 1779:  1155.15
Distância do 1857:  1185.16
Distância do 2085:  1192.05
Distância do 2031:  1192.66
Distância do 2073:  1199.55
Distância do 1941:  1200.16
Distância do 2067:  1207.05
Distância do 1977:  1207.66
Distância do 2019:  1214.55
Distância do 2007:  1215.16
Distância do 2001:  1222.05
Distância do 1917:  1222.66
Distância do 2055:  1229.55
Distância do 1989:  1230.17
Distância do 2133:  1237.05
Distância do 2025:  1237.67
Distância do 1995:  1244.56
Distância do 2103:  1245.17
Distância do 2121:  1252.06
Distância do 2115:  1252.67
Distância do 2091:  1259.56
Distância do 1971:  1260.17
Distância do 2151:  1267.06
Distância do 2109:  1267.67
Distância do 2139:  1274.56
Distância do 2127:  1275.17
Distância do 1965:  1282.06
Distância do 1881:  1282.67
Distância do 1947:  1290.17
Distância do 1959:  1289.56
Distância do 2037:  1297.06
Distância do 2097:  1297.67
Distância do 2157:  1312.06
Distância do 2163:  1327.07
Distância do 2199:  1327.68
Distância do 2169:  1319.57
Distância do 2205:  1334.57
Distância do 2193:  1320.18
Distância do 2223:  1335.18
Distância do 2175:  1312.68
Distância do 2229:  1342.07
Distância do 2211:  1342.68
Distância do 2265:  1364.57
Distância do 2217:  1365.18
Distância do 2253:  1357.07
Distância do 2277:  1372.07
Distância do 2187:  1357.68
Distância do 2247:  1372.69
Distância do 2235:  1349.57
Distância do 2283:  1379.57
Distância do 2241:  1380.19
Distância do 2313:  1387.07
Distância do 2259:  1387.69
Distância do 2271:  1395.19
Distância do 2301:  1394.58
Distância do 2343:  1402.08
Distância do 2289:  1402.69
Distância do 2319:  1409.58
Distância do 2325:  1410.19
Distância do 2307:  1424.58
Distância do 2361:  1425.19
Distância do 2349:  1432.08
Distância do 2355:  1417.08
Distância do 2331:  1417.69
Distância do 2295:  1432.69
Distância do 2379:  1439.58
Distância do 2403:  1440.19
Distância do 2421:  1447.7
Distância do 2439:  1462.7
Distância do 2451:  1470.2
Distância do 2385:  1469.59
Distância do 2463:  1477.7
Distância do 2397:  1477.09
Distância do 2373:  1462.08
Distância do 2415:  1484.59
Distância do 2481:  1485.2
Distância do 2337:  1455.2
Distância do 2367:  1454.58
Distância do 2433:  1492.09
Distância do 2475:  1492.7
Distância do 2457:  1499.59
Distância do 2487:  1500.2
Distância do 2493:  1507.09
Distância do 2505:  1507.7

<!> Simulation time limit reached -- at t=1590s, event #2018238

Calling finish() at end of Run #19...
Número de veículos que receberam o vídeo: 393

Assigned runID=General-20-20191214-17:56:08-11140
Setting up network "RSUExampleScenario"...
Initializing...

Running simulation...
Distância do 93:  3.25972
Distância do 147:  7.5048
Distância do 171:  7.49723
Distância do 141:  7.58772
Distância do 45:  8.72977
Distância do 189:  14.7327
Distância do 123:  14.9983
Distância do 51:  22.4993
Distância do 81:  30.0003
Distância do 117:  44.5004
Distância do 105:  29.5568
Distância do 111:  37.5013
Distância do 75:  37.0226
Distância do 165:  22.1147
Distância do 99:  45.0024
Distância do 57:  51.9848
Distância do 183:  52.5034
Distância do 177:  59.4734
Distância do 135:  60.0044
Distância do 63:  67.5054
Distância do 291:  66.9649
Distância do 279:  74.4582
Distância do 237:  75.0065
Distância do 273:  82.5076
Distância do 255:  90.0086
Distância do 219:  89.4488
Distância do 333:  97.5096
Distância do 339:  96.9455
Distância do 315:  81.953
Distância do 261:  104.443
Distância do 267:  105.011
Distância do 285:  111.94
Distância do 87:  126.937
Distância do 249:  127.514
Distância do 225:  134.436
Distância do 297:  119.439
Distância do 351:  120.013
Distância do 201:  135.015
Distância do 321:  112.512
Distância do 357:  141.935
Distância do 363:  149.434
Distância do 303:  165.019
Distância do 411:  164.433
Distância do 207:  172.52
Distância do 327:  157.518
Distância do 483:  171.933
Distância do 393:  156.934
Distância do 465:  179.433
Distância do 27:  150.017
Distância do 195:  180.021
Distância do 405:  187.522
Distância do 435:  194.433
Distância do 471:  195.023
Distância do 231:  201.933
Distância do 387:  186.933
Distância do 309:  202.524
Distância do 501:  209.433
Distância do 345:  210.025
Distância do 519:  216.933
Distância do 531:  225.027
Distância do 507:  224.433
Distância do 417:  217.526
Distância do 555:  232.528
Distância do 549:  231.934
Distância do 585:  239.434
Distância do 591:  240.029
Distância do 639:  246.934
Distância do 657:  247.53
Distância do 153:  255.031
Distância do 645:  254.435
Distância do 399:  261.935
Distância do 213:  262.532
Distância do 243:  270.033
Distância do 537:  276.936
Distância do 381:  277.534
Distância do 513:  269.436
Distância do 579:  284.437
Distância do 369:  285.035
Distância do 681:  291.937
Distância do 459:  292.536
Distância do 723:  299.438
Distância do 495:  307.538
Distância do 375:  315.039
Distância do 717:  314.439
Distância do 423:  322.54
Distância do 765:  321.94
Distância do 663:  306.939
Distância do 609:  329.441
Distância do 489:  300.037
Distância do 429:  330.042
Distância do 453:  337.543
Distância do 735:  351.943
Distância do 669:  360.046
Distância do 753:  359.443
Distância do 597:  352.545
Distância do 687:  367.547
Distância do 693:  366.944
Distância do 543:  374.445
Distância do 621:  375.048
Distância do 447:  345.044
Distância do 771:  382.549
Distância do 741:  381.946
Distância do 651:  389.446
Distância do 705:  390.05
Distância do 615:  405.052
Distância do 573:  411.949
Distância do 441:  412.553
Distância do 729:  404.448
Distância do 801:  419.45
Distância do 603:  420.054
Distância do 525:  397.551
Distância do 711:  396.947
Distância do 825:  426.95
Distância do 675:  427.555
Distância do 873:  434.451
Distância do 747:  435.056
Distância do 885:  441.952
Distância do 633:  442.557
Distância do 789:  449.453
Distância do 777:  450.058
Distância do 849:  456.954
Distância do 855:  457.559
Distância do 963:  465.06
Distância do 909:  464.455
Distância do 933:  471.956
Distância do 783:  472.561
Distância do 939:  479.456
Distância do 891:  480.062
Distância do 927:  494.458
Distância do 951:  495.064
Distância do 945:  486.957
Distância do 1041:  501.959
Distância do 957:  487.563
Distância do 915:  502.565
Distância do 1053:  509.46
Distância do 1071:  510.066
Distância do 1059:  516.961
Distância do 477:  517.567
Distância do 1029:  531.962
Distância do 699:  532.569
Distância do 993:  539.463
Distância do 1017:  524.462
Distância do 561:  525.068
Distância do 759:  540.07
Distância do 987:  546.964
Distância do 795:  547.571
Distância do 807:  555.072
Distância do 843:  561.966
Distância do 819:  562.573
Distância do 837:  570.074
Distância do 861:  569.467
Distância do 879:  577.576
Distância do 975:  576.968
Distância do 1095:  584.469
Distância do 903:  585.077
Distância do 1089:  554.465

<!> Simulation time limit reached -- at t=1590s, event #702664

Calling finish() at end of Run #20...
Número de veículos que receberam o vídeo: 156

Assigned runID=General-21-20191214-17:58:37-11140
Setting up network "RSUExampleScenario"...
Initializing...

Running simulation...
Distância do 93:  3.25972
Distância do 147:  7.5048
Distância do 171:  7.49723
Distância do 141:  7.58772
Distância do 45:  8.72977
Distância do 189:  14.7327
Distância do 123:  14.9983
Distância do 51:  22.4993
Distância do 105:  29.5568
Distância do 111:  37.5013
Distância do 75:  37.0226
Distância do 81:  30.0003
Distância do 99:  45.0024
Distância do 117:  44.5004
Distância do 57:  51.9848
Distância do 183:  52.5034
Distância do 165:  22.1147
Distância do 135:  60.0044
Distância do 291:  66.9649
Distância do 279:  74.4582
Distância do 237:  75.0065
Distância do 315:  81.953
Distância do 63:  67.5054
Distância do 273:  82.5076
Distância do 177:  59.4734
Distância do 219:  89.4488
Distância do 255:  90.0086
Distância do 339:  96.9455
Distância do 333:  97.5096
Distância do 297:  119.439
Distância do 351:  120.013
Distância do 87:  126.937
Distância do 285:  111.94
Distância do 321:  112.512
Distância do 249:  127.514
Distância do 267:  105.011
Distância do 225:  134.436
Distância do 261:  104.443
Distância do 201:  135.015
Distância do 357:  141.935
Distância do 159:  142.516
Distância do 363:  149.434
Distância do 27:  150.017
Distância do 393:  156.934
Distância do 327:  157.518
Distância do 411:  164.433
Distância do 303:  165.019
Distância do 405:  187.522
Distância do 387:  186.933
Distância do 195:  180.021
Distância do 471:  195.023
Distância do 435:  194.433
Distância do 465:  179.433
Distância do 231:  201.933
Distância do 207:  172.52
Distância do 309:  202.524
Distância do 483:  171.933
Distância do 501:  209.433
Distância do 345:  210.025
Distância do 519:  216.933
Distância do 417:  217.526
Distância do 507:  224.433
Distância do 549:  231.934
Distância do 555:  232.528
Distância do 585:  239.434
Distância do 531:  225.027
Distância do 591:  240.029
Distância do 639:  246.934
Distância do 657:  247.53
Distância do 645:  254.435
Distância do 153:  255.031
Distância do 213:  262.532
Distância do 399:  261.935
Distância do 513:  269.436
Distância do 243:  270.033
Distância do 537:  276.936
Distância do 381:  277.534
Distância do 459:  292.536
Distância do 681:  291.937
Distância do 369:  285.035
Distância do 489:  300.037
Distância do 723:  299.438
Distância do 579:  284.437
Distância do 663:  306.939
Distância do 495:  307.538
Distância do 717:  314.439
Distância do 765:  321.94
Distância do 627:  336.941
Distância do 453:  337.543
Distância do 567:  344.442
Distância do 609:  329.441
Distância do 429:  330.042
Distância do 447:  345.044
Distância do 423:  322.54
Distância do 735:  351.943
Distância do 597:  352.545
Distância do 375:  315.039
Distância do 753:  359.443
Distância do 669:  360.046
Distância do 693:  366.944
Distância do 543:  374.445
Distância do 621:  375.048
Distância do 741:  381.946
Distância do 687:  367.547
